,Week,Origin State,Origin District,Destination District,Population,theta_S(t),theta_C(t),theta_I(t),theta_A(t),theta_R(t),theta_D(t),D_k^Tr(t),D_k^Ro(t),D_k^To(t)
0,18,ANDHRA PRADESH,EAST GODAVARI,ANUGUL,5154296,999943.3482,56.65177165,11.33035433,45.32141732,20.17734333,0,0,0.194012917,194012.9166
1,18,ANDHRA PRADESH,OTHER,ANUGUL,34078373,999847.616,152.3840355,30.47680709,121.9072284,41.37521471,3.257197754,0,0.029344124,29344.12391
2,19,ANDHRA PRADESH,EAST GODAVARI,ANUGUL,5154296,999937.9159,62.08413331,12.41682666,49.66730665,35.31035082,0,0,0.58203875,582038.7498
3,19,TELANGANA,OTHER,ANUGUL,26240025,999698.8951,301.1048961,60.22097921,240.8839168,182.2787897,7.812492557,0,0.381097198,381097.1979
4,19,WEST BENGAL,KOLKATA,ANUGUL,4631392,998790.6444,1209.355632,241.8711264,967.4845057,238.373258,155.6767382,0,1.079589031,1079589.031
5,19,ANDHRA PRADESH,SRIKAKULAM,ANUGUL,2703114,999987.052,12.94802957,2.589605914,10.35842366,0,0,0,1.109831106,1109831.106
6,19,GUJARAT,SURAT,ANUGUL,2894504,998080.8456,1919.15437,383.830874,1535.323496,849.5410613,86.02510136,3.109341013,0.69096467,690967.7789
7,19,OTHER,OTHER,ANUGUL,732071000,999801.6627,198.3373197,39.66746395,158.6698558,76.03634074,4.636162339,0.004097963,0.128402846,128402.8503
8,19,ANDHRA PRADESH,GUNTUR,ANUGUL,530577,995180.7184,4819.28165,963.85633,3855.42532,1941.282792,105.5454722,0,1.884740575,1884740.575
9,19,ANDHRA PRADESH,VISAKHAPATANAM,ANUGUL,1063178,0,0,0,0,0,0,0,3.762305089,3762305.089
10,19,GUJARAT,AHMEDABAD,ANUGUL,3719710,990637.4422,9362.557834,1872.511567,7490.046267,1739.114071,594.9388528,15.05493708,0.268838162,268853.2171
11,19,TELANGANA,RANGA REDDY,ANUGUL,2446265,0,0,0,0,0,0,0,0.408786456,408786.4561
12,19,WEST BENGAL,OTHER,ANUGUL,59309688,999979.43,20.56999524,4.113999049,16.45599619,5.901228143,1.163384977,0,0.320352385,320352.3849
13,19,ANDHRA PRADESH,OTHER,ANUGUL,34078373,999792.7718,207.2282031,41.44564061,165.7825624,84.33501212,4.108177348,0,0.029344124,29344.12391
14,19,GUJARAT,OTHER,ANUGUL,56806534,999855.5448,144.4552135,28.89104271,115.5641708,55.59219649,7.851209511,0,0.035207218,35207.21754
15,19,MAHARASHTRA,JALGAON,ANUGUL,429298,998450.9595,1549.040527,309.8081053,1239.232421,32.61137951,225.9502723,0,4.658768501,4658768.501
16,19,TAMIL NADU,OTHER,ANUGUL,65979190,999782.5527,217.4473497,43.48946994,173.9578797,88.49760053,1.151878342,0,0.015156294,15156.29398
17,19,TELANGANA,YADADRI BHUVANAGIRI,ANUGUL,739448,0,0,0,0,0,0,0,1.352360139,1352360.139
18,19,WEST BENGAL,MEDINIPUR EAST,ANUGUL,5095875,999944.6611,55.33887703,11.06777541,44.27110163,31.20170726,1.373660068,0,0.588711458,588711.4578
19,19,WEST BENGAL,MEDINIPUR WEST,ANUGUL,5913457,999980.0455,19.95448686,3.990897372,15.96358949,3.551222238,0,0,0.169105821,169105.8208
20,19,KARNATAKA,BALLARI,ANUGUL,2452595,999959.2269,40.77314029,8.154628057,32.61851223,26.91027259,0,0,0.815462806,815462.8057
21,19,KARNATAKA,BENGALURU URBAN,ANUGUL,9621551,999882.6593,117.3407489,23.46814978,93.87259913,57.9948077,4.469133927,1.247200166,0.103933347,103934.5943
22,19,MAHARASHTRA,OTHER,ANUGUL,102131474,999859.9746,140.0253951,28.00507902,112.0203161,25.86861715,5.67895456,0,0.078330408,78330.40773
23,19,WEST BENGAL,24 PARAGANAS NORTH,ANUGUL,10009781,999848.8478,151.1521581,30.23043161,120.9217265,32.06863367,14.48583141,0,0.199804571,199804.5711
24,19,WEST BENGAL,HOWRAH,ANUGUL,4842000,999531.5985,468.401487,93.6802974,374.7211896,41.30524577,27.88104089,0,0.206526229,206526.2288
25,20,ANDHRA PRADESH,GUNTUR,ANUGUL,530577,994701.9942,5298.005756,1059.601151,4238.404605,3121.130392,105.5454722,52.7727361,9.423702874,9423755.647
26,20,ANDHRA PRADESH,VISAKHAPATANAM,ANUGUL,1063178,0,0,0,0,0,0,0,8.46518645,8465186.45
27,20,OTHER,OTHER,ANUGUL,732071000,999729.3978,270.6021684,54.12043367,216.4817347,124.7802467,6.157872665,0,0.091521178,91521.17759
28,20,KARNATAKA,BENGALURU RURAL,ANUGUL,990923,999957.6153,42.38472616,8.476945232,33.90778093,42.38472616,0,11.10076161,2.018320293,2018331.394
29,20,KARNATAKA,BENGALURU URBAN,ANUGUL,9621551,999857.9231,142.0768855,28.41537711,113.6615084,74.00054316,5.092734009,0,1.870800248,1870800.248
30,20,MAHARASHTRA,OTHER,ANUGUL,102131474,999774.4182,225.5817829,45.11635659,180.4654264,66.15002932,9.575892344,0,0.039165204,39165.20386
31,20,TELANGANA,OTHER,ANUGUL,26240025,999622.8662,377.133787,75.42675741,301.7070296,245.2741566,8.841454991,0,0.342987478,342987.4781
32,20,WEST BENGAL,OTHER,ANUGUL,59309688,999962.1984,37.80158142,7.560316284,30.24126514,11.53268586,1.298270192,0,0.505819555,505819.5551
33,20,GUJARAT,AHMEDABAD,ANUGUL,3719710,986630.947,13369.05296,2673.810593,10695.24237,4113.761557,867.8095873,0,0.268838162,268838.1621
34,20,MAHARASHTRA,THANE,ANUGUL,1261517,981604.6871,18395.31294,3679.062589,14716.25036,3657.501247,191.8325318,0,2.378089237,2378089.237
35,20,TAMIL NADU,KANCHIPURAM,ANUGUL,155029,992640.0867,7359.913307,1471.982661,5887.930645,2715.620948,45.15284237,0,51.60324842,51603248.42
36,20,TELANGANA,HYDERABAD,ANUGUL,3597816,0,0,0,0,0,0,0,1.111785594,1111785.594
37,20,TELANGANA,MEDCHAL MALKAJGIRI,ANUGUL,2440073,0,0,0,0,0,0,0,0.409823804,409823.8045
38,20,KARNATAKA,OTHER,ANUGUL,50268750,999894.6065,105.3935099,21.07870198,84.31480791,45.81375109,3.501181151,0,0.059679224,59679.22417
39,20,TAMIL NADU,CHENNAI,ANUGUL,4328063,990956.6936,9043.30644,1808.661288,7234.645152,1484.035699,73.01187621,0,2.772602894,2772602.894
40,20,TAMIL NADU,THIRUVALLUR,ANUGUL,3728104,999064.1355,935.8644501,187.17289,748.6915601,196.3464539,5.90112293,0,1.609397163,1609397.163
41,20,WEST BENGAL,24 PARAGANAS NORTH,ANUGUL,10009781,999781.1141,218.8859077,43.77718154,175.1087262,71.82974333,20.87957769,0,0.199804571,199804.5711
42,20,WEST BENGAL,HOWRAH,ANUGUL,4842000,999262.7014,737.2986369,147.4597274,589.8389095,195.5803387,39.23998348,0,0.619578686,619578.6865
43,20,WEST BENGAL,MEDINIPUR WEST,ANUGUL,5913457,999977.3398,22.66017999,4.532035999,18.12814399,17.24879373,0,0,0.676423283,676423.2834
44,20,MAHARASHTRA,PUNE,ANUGUL,2935744,992114.435,7885.564954,1577.112991,6308.451963,3139.919557,419.9957489,70.16960607,2.043774934,2043845.104
45,20,TAMIL NADU,COIMBATORE,ANUGUL,959823,998937.3041,1062.695935,212.5391869,850.1567477,1041.858759,7.293011316,1.041858759,5.209293797,5209294.839
46,20,TAMIL NADU,ERODE,ANUGUL,147270,996672.7779,3327.222109,665.4444218,2661.777687,3279.690365,47.53174442,0,6.790249202,6790249.202
47,20,TAMIL NADU,OTHER,ANUGUL,65979190,999674.7459,325.2540687,65.05081375,260.203255,137.2250857,1.667192337,0.257656998,0.181875528,181875.7854
48,20,ANDHRA PRADESH,EAST GODAVARI,ANUGUL,5154296,999931.9015,68.09853373,13.61970675,54.47882698,47.33915165,0,0,1.1640775,1164077.5
49,20,ANDHRA PRADESH,OTHER,ANUGUL,34078373,999743.6204,256.3796106,51.27592212,205.1036885,135.1003465,5.25259818,0.029344124,0.029344124,29344.15326
50,20,ANDHRA PRADESH,SRIKAKULAM,ANUGUL,2703114,999981.5028,18.4971851,3.69943702,14.79774808,7.768817741,0,0,1.109831106,1109831.106
51,20,GUJARAT,OTHER,ANUGUL,56806534,999800.2871,199.7129415,39.94258829,159.7703532,109.9169331,9.347516256,0,0.246450523,246450.5228
52,20,GUJARAT,SURAT,ANUGUL,2894504,997593.3701,2406.629944,481.3259888,1925.303955,1469.681852,108.1359708,5.527717357,0.345482335,345487.8625
53,20,WEST BENGAL,KOLKATA,ANUGUL,4631392,998250.6339,1749.366065,349.8732131,1399.492852,565.4887343,219.1565732,0,0.647753418,647753.4184
54,21,ANDHRA PRADESH,OTHER,ANUGUL,34078373,999689.011,310.9890252,62.19780504,248.7912202,197.0164479,6.07423365,0,0.058688248,58688.24782
55,21,GUJARAT,SURAT,ANUGUL,2894504,997041.2893,2958.710715,591.742143,2366.968572,1980.650225,137.8474516,34.20275114,1.727411674,1727445.877
56,21,OTHER,OTHER,ANUGUL,732071000,999624.2222,375.7777593,75.15555185,300.6222074,196.5656337,8.306571357,0,0.066933399,66933.39854
57,21,KARNATAKA,BENGALURU URBAN,ANUGUL,9621551,999813.7514,186.2485581,37.24971161,148.9988464,91.77314551,6.443867522,1.974733595,0.935400124,935402.0989
58,21,KARNATAKA,KOLAR,ANUGUL,126441,999391.0203,608.9796822,121.7959364,487.1837458,0,0,0,7.908827042,7908827.042
59,21,MAHARASHTRA,OTHER,ANUGUL,102131474,999672.9216,327.0784088,65.41568175,261.662727,159.0401016,13.27700411,0,0.048956505,48956.50483
60,21,TAMIL NADU,CHENNAI,ANUGUL,4328063,985724.7919,14275.2081,2855.04162,11420.16648,5097.199371,108.8246636,0,3.003653135,3003653.135
61,21,TAMIL NADU,COIMBATORE,ANUGUL,959823,998942.5134,1057.486641,211.4973282,845.9893126,1050.193629,7.293011316,0,6.251152556,6251152.556
62,21,TAMIL NADU,OTHER,ANUGUL,65979190,999580.0797,419.9202809,83.98405618,335.9362247,266.3718666,1.909693041,0,0.166719234,166719.2337
63,21,TAMIL NADU,THIRUVALLUR,ANUGUL,3728104,998801.8038,1198.196188,239.6392375,958.5569501,414.6880023,12.60694444,5.096424349,2.145862884,2145867.98
64,21,TAMIL NADU,TIRUPPUR,ANUGUL,397521,997992.5589,2007.441116,401.4882233,1605.952893,2007.441116,0,0,12.57795186,12577951.86
